Date,Open,High,Low,Close,Volume,Adj Close
2009-10-01,17.65,18.02,15.74,15.90,25250700,15.90
2009-09-01,14.50,17.94,13.97,17.81,36378300,17.81
2009-08-03,14.56,15.21,14.30,14.61,28097800,14.61
2009-07-01,15.49,17.68,14.22,14.32,36381400,14.32
2009-06-01,16.17,16.99,14.55,15.66,19810700,15.66
2009-05-01,14.50,15.84,13.91,15.84,24369700,15.84
2009-04-01,12.70,15.39,12.60,14.29,24663000,14.29
2009-03-02,12.85,14.14,12.31,12.81,20604100,12.81
2009-02-02,11.50,14.00,11.49,13.23,18837100,13.23
2009-01-02,12.17,13.56,10.81,11.73,21387300,11.73
2008-12-01,11.82,13.57,10.50,12.20,20089400,12.20
2008-11-03,12.74,14.89,8.94,11.51,31084900,11.51
2008-10-01,17.17,17.31,11.25,12.82,32771000,12.82
2008-09-02,19.63,20.82,16.88,17.30,24333600,17.30
2008-08-01,20.09,20.82,18.87,19.38,13981900,19.38
2008-07-01,20.48,24.80,19.59,19.89,30010200,19.89
2008-06-02,26.80,27.08,20.60,20.66,37700200,20.66
2008-05-01,27.69,29.73,22.97,26.76,64988900,26.76
2008-04-01,28.07,28.88,25.81,27.41,25886600,27.41
2008-03-03,27.73,29.18,25.72,28.93,30491900,28.93
2008-02-01,28.68,30.25,27.34,27.78,67246000,27.78
2008-01-02,23.80,24.57,18.58,19.18,40871900,19.18
2007-12-03,26.64,27.20,22.80,23.26,21346300,23.26
2007-11-01,30.86,32.37,24.69,26.81,35105600,26.81
2007-10-01,26.76,34.08,26.55,31.10,36353300,31.10
2007-09-04,23.30,27.07,23.10,26.84,24843400,26.84
2007-08-01,23.17,24.74,22.27,22.73,20535100,22.73
2007-07-02,27.19,27.80,23.24,23.25,28176100,23.25
2007-06-01,28.90,29.40,26.61,27.13,27196000,27.13
2007-05-01,28.25,33.61,27.53,28.70,33022800,28.70
2007-04-02,31.22,32.24,27.37,28.04,27881300,28.04
2007-03-01,30.13,31.90,28.79,31.29,20699100,31.29
2007-02-01,28.68,32.84,28.15,30.86,24507800,30.86
2007-01-03,25.85,29.88,25.26,28.31,30563800,28.31
2006-12-01,27.00,27.61,25.13,25.54,21467800,25.54
2006-11-01,26.50,28.56,25.77,27.01,22959200,27.01
2006-10-02,25.45,26.70,22.65,26.34,38170000,26.34
2006-09-01,28.91,29.57,24.60,25.28,26884400,25.28
2006-08-01,27.06,29.97,26.40,28.83,13288000,28.83
2006-07-03,32.90,33.74,24.91,27.14,32004700,27.14
2006-06-01,31.83,33.12,29.25,33.00,17012900,33.00
2006-05-01,32.99,34.00,28.60,31.59,23141800,31.59
2006-04-03,32.41,34.09,30.53,32.78,22687700,32.78
2006-03-01,32.21,32.91,29.75,32.26,21490300,32.26
2006-02-01,34.45,35.10,31.34,32.06,25364200,32.06
2006-01-03,39.69,43.66,33.21,34.38,35789600,34.38
2005-12-01,40.74,42.89,39.05,39.18,15072500,39.18
2005-11-01,36.62,43.45,36.59,40.23,23278700,40.23
2005-10-03,33.80,37.27,32.77,36.97,22015200,36.97
2005-09-01,33.28,34.71,31.60,33.84,16036400,33.84
2005-08-01,33.63,35.00,32.65,33.32,14843700,33.32
2005-07-01,34.76,38.02,32.75,33.34,22593700,33.34
2005-06-01,37.31,38.95,34.44,34.65,16494800,34.65
2005-05-02,34.44,37.47,33.69,37.20,17125000,37.20
2005-04-01,34.18,35.91,32.29,34.50,23654900,34.50
2005-03-01,32.37,34.20,30.65,33.90,20569600,33.90
2005-02-01,35.13,36.34,30.30,32.27,24149300,32.27
2005-01-03,38.36,38.90,33.75,35.21,26252800,35.21
2004-12-01,37.90,39.79,36.21,37.68,13130300,37.68
2004-11-01,35.91,39.25,35.35,37.62,16805900,37.62
2004-10-01,34.35,36.75,33.60,36.19,21898800,36.19
2004-09-01,28.39,34.49,28.13,33.91,19542800,33.91
2004-08-02,30.57,30.61,25.52,28.51,19215000,28.51
2004-07-01,35.14,35.34,27.51,30.80,26066800,30.80
2004-06-01,30.49,36.51,30.43,36.40,19192500,36.40
2004-05-03,50.53,54.00,25.76,30.66,22834300,30.66
2004-04-01,48.82,58.35,47.89,50.53,30659000,25.26
2004-03-01,44.55,49.30,41.14,48.47,22296800,24.24
