ra,dec,err_maj,err_min,err_ang,j_m,j_msig,h_m,h_msig,k_m,k_msig,rd_flg,bl_flg,cc_flg,extd_flg,id_opt,b_m_opt,r_m_opt,dist_opt,phi_opt,nopt_mchs
345.804740,24.048248,0.15,0.15,90,15.762,0.067,15.595,0.137,15.425,0.175,222,111,000,0,112519925365,17.80,16.50,0.31,298,1
345.786273,25.815083,0.12,0.12,90,12.108,0.031,11.756,0.034,11.739,0.032,222,111,000,0,112519924728,15.00,13.30,0.17,184,1
345.116342,24.991226,0.13,0.12,0,13.427,0.034,12.785,0.036,12.590,0.032,222,111,000,0,112519901413,18.00,15.30,0.85,311,1
345.244136,29.539909,0.13,0.13,90,14.038,0.038,13.286,0.035,15.115,0.227,222,112,000,0,112519905953,16.60,15.20,2.19,347,1
345.999558,24.859741,0.12,0.12,90,13.250,0.032,12.756,0.031,12.580,0.036,222,111,000,0,112519931920,17.00,15.20,0.25,257,1
345.187984,26.282087,0.12,0.12,90,15.534,0.062,14.829,0.072,14.609,0.080,222,111,000,0,,,,,,0
345.198061,24.359306,0.12,0.12,0,15.338,0.051,14.877,0.075,14.787,0.099,222,111,000,0,112519904323,18.90,16.80,0.51,111,1
346.306232,28.393423,0.29,0.27,163,16.715,0.161,16.144,0.221,15.352,0.146,222,111,000,0,112519942450,19.70,17.90,0.61,95,1
346.340026,25.149076,0.13,0.12,0,15.405,0.053,14.726,0.069,14.548,0.075,222,111,000,0,112519943530,19.10,17.40,0.83,277,1
346.533539,29.261860,0.12,0.12,0,15.126,0.043,14.837,0.075,14.725,0.094,222,111,000,0,112519949914,17.50,16.30,0.45,158,1
344.462195,27.931141,0.29,0.28,175,16.425,0.135,16.109,0.185,15.793,0.232,222,111,000,0,,,,,,0
344.109310,25.331764,0.16,0.15,27,16.214,0.104,15.587,0.119,14.955,0.107,222,111,000,0,,,,,,0
346.454586,24.069071,0.39,0.33,57,16.612,0.136,15.843,0.162,16.054,0.300,222,111,000,0,112519947356,21.30,19.70,0.64,150,1
344.105542,29.491573,0.17,0.13,0,15.590,0.068,15.372,0.118,15.272,0.144,222,111,000,0,112519865234,17.80,16.50,0.81,62,1
344.480432,28.698792,0.12,0.12,0,15.793,0.072,15.077,0.083,15.018,0.111,222,111,000,0,112519878748,19.00,17.20,0.49,37,1
344.419904,27.103012,0.14,0.12,0,13.296,0.035,12.786,0.036,12.715,0.034,222,111,000,0,112519876642,16.50,14.70,0.52,167,1
345.710936,25.066298,0.13,0.13,90,15.611,0.061,15.073,0.088,15.389,0.171,222,111,000,0,112519922070,18.30,16.80,0.64,5,1
344.180305,27.690964,0.17,0.16,73,16.206,0.109,15.437,0.105,15.449,0.162,222,111,000,0,112519867887,21.00,18.70,0.55,159,1
344.565846,29.978258,0.12,0.12,90,12.979,0.033,12.428,0.033,12.308,0.032,222,111,000,0,112519881714,16.60,14.70,2.22,63,1
344.765303,27.058098,0.28,0.25,30,16.795,0.149,15.828,0.154,15.785,0.221,222,111,000,0,112519888895,21.10,18.60,0.68,145,1
344.815051,28.840092,0.12,0.12,90,13.845,0.038,13.444,0.037,13.274,0.044,222,111,000,0,112519890739,16.30,14.70,1.24,89,1
344.997248,25.687551,0.12,0.12,90,13.973,0.038,13.200,0.036,12.986,0.033,222,111,000,0,112519897287,19.90,16.60,0.58,94,1
345.040151,27.417526,0.15,0.15,90,15.820,0.075,15.670,0.130,15.463,0.153,222,111,000,0,112519898714,18.20,16.80,0.46,163,1
344.199842,25.033237,0.16,0.15,45,15.967,0.086,15.611,0.138,15.369,0.170,222,111,000,0,112519868565,18.20,16.70,0.84,287,1
345.179735,25.480469,0.12,0.12,90,13.695,0.038,12.996,0.034,12.834,0.034,222,111,000,0,112519903650,18.20,15.70,1.27,227,1
344.323943,26.352612,0.21,0.20,45,16.164,0.108,15.794,0.151,15.168,9.999,220,110,000,0,112519873162,20.80,18.20,0.81,119,1
345.403223,26.984985,0.12,0.12,90,14.902,0.043,14.426,0.054,14.465,0.069,222,111,000,0,112519911415,16.80,15.60,0.23,285,1
344.460330,26.888483,0.13,0.12,0,15.312,0.055,14.788,0.067,14.693,0.088,222,111,000,0,112519878061,18.60,16.70,0.88,124,1
345.443138,27.381920,0.30,0.25,68,17.020,0.188,15.945,0.182,15.831,0.223,222,111,000,0,,,,,,0
344.537723,28.623005,0.24,0.16,0,16.224,0.098,15.443,0.101,15.319,0.148,222,111,000,0,112519880734,21.20,19.20,1.29,219,1
345.635318,28.186192,0.25,0.25,90,16.590,0.127,15.822,0.162,15.661,0.203,222,111,000,0,,,,,,0
344.672030,28.221483,0.22,0.19,96,16.340,0.107,15.773,0.152,15.399,0.162,222,111,000,0,,,,,,0
344.607278,26.622337,0.12,0.12,90,15.140,0.051,14.529,0.062,14.217,0.066,222,111,000,0,112519883255,20.40,17.20,1.02,53,1
345.748308,26.859150,0.12,0.12,90,15.293,0.050,14.618,0.070,14.483,0.084,222,111,000,0,112519923374,21.00,18.50,1.73,87,1
347.009254,23.990971,0.14,0.13,135,15.445,0.062,15.081,0.102,15.154,0.145,222,111,000,0,112519965786,18.80,17.00,0.98,61,1
345.402261,27.958853,0.12,0.12,90,14.866,0.043,14.481,0.057,14.513,0.075,222,111,000,0,112519911386,16.80,15.30,0.53,151,1
345.990872,29.803040,0.12,0.12,90,15.265,0.050,14.905,0.076,14.872,0.105,222,111,000,0,112519931637,17.50,16.00,0.43,79,1
346.015604,23.886169,0.12,0.12,90,14.571,0.041,14.174,0.047,14.228,0.072,222,111,000,0,112519932418,16.80,15.30,0.09,244,1
345.037902,26.741451,0.12,0.12,90,15.596,0.065,14.957,0.072,14.664,0.086,222,111,000,0,112519898624,19.80,17.80,0.50,171,1
345.098121,28.474039,0.29,0.25,85,16.552,0.139,15.745,0.143,15.836,0.230,222,111,000,0,112519900772,20.70,18.20,0.61,135,1
346.091585,28.947630,0.12,0.12,0,15.421,0.051,15.084,0.093,14.971,0.117,222,111,000,0,112519935000,17.70,16.60,0.43,114,1
345.178272,28.398424,0.30,0.20,36,16.472,0.219,15.748,0.132,15.250,0.185,222,111,000,0,112519903552,20.70,17.80,4.46,296,1
345.341897,25.200058,0.13,0.12,0,14.289,0.059,13.656,0.061,13.273,0.071,222,111,000,1,112519909257,12.30,12.10,0.29,158,1,818
346.428110,25.721367,0.35,0.29,6,17.304,0.245,16.271,0.237,15.412,0.167,222,111,000,0,,,,,,0
346.473233,25.081888,0.12,0.12,90,15.090,0.046,14.418,0.057,14.301,0.063,222,111,000,0,112519947962,18.90,16.80,0.77,43,1
345.511819,29.896683,0.12,0.12,90,14.509,0.041,14.282,0.048,14.142,0.055,222,111,000,0,112519915211,16.80,15.60,0.24,125,1
346.525313,25.483988,0.13,0.12,0,15.195,0.046,14.673,0.061,14.293,0.063,222,111,000,0,,,,,,0
346.634058,24.180601,0.12,0.12,90,10.675,0.027,10.102,0.030,9.975,0.032,222,111,000,0,112519953307,15.00,12.60,0.67,65,1
345.564476,27.220695,0.24,0.22,60,16.212,0.087,15.641,0.144,15.579,0.178,222,111,000,0,112519917087,18.20,16.80,1.32,124,1
344.287608,26.659937,0.17,0.16,94,16.173,0.092,15.394,0.115,15.249,0.131,222,111,000,0,112519871850,20.80,18.40,0.54,213,1
344.996817,25.239685,0.14,0.13,0,16.107,0.091,15.349,0.110,15.145,0.128,222,111,000,0,112519897262,21.00,17.90,0.42,329,1
344.188031,26.306429,0.13,0.12,0,13.284,0.036,12.922,0.036,12.852,0.034,222,111,000,0,112519868145,15.70,14.10,0.98,161,1
344.324705,27.955158,0.12,0.12,90,11.158,0.035,10.988,0.035,10.866,0.031,222,111,000,0,112519873190,0.00,11.80,0.67,36,1
344.195297,29.524654,0.12,0.12,90,13.607,0.033,12.899,0.033,12.805,0.034,222,111,000,0,112519868411,17.30,15.40,0.69,49,1
345.027928,28.872843,0.12,0.12,90,15.080,0.048,14.540,0.055,14.344,0.072,222,111,000,0,112519898277,18.00,16.50,0.54,105,1
344.602830,27.871710,0.12,0.12,0,16.074,0.104,15.163,0.095,14.982,0.118,222,111,000,0,112519883083,20.70,16.60,1.58,171,3
344.645435,26.287033,0.13,0.13,90,15.705,0.065,15.029,0.081,15.090,0.119,222,111,000,0,112519884522,19.30,17.10,0.62,163,1
344.937805,29.192793,0.13,0.12,90,14.941,0.046,14.334,0.054,14.140,0.055,222,111,000,0,112519895218,20.00,17.50,1.28,248,1
344.928522,27.577320,0.13,0.13,90,16.056,0.089,15.285,0.096,15.264,0.131,222,111,000,0,112519894918,20.60,18.50,0.93,131,1
344.179503,23.923273,0.12,0.12,90,14.815,0.043,14.232,0.046,14.133,0.057,222,111,000,0,112519867853,18.30,16.00,0.24,233,1
345.117112,27.615976,0.13,0.13,90,15.973,0.078,15.490,0.115,15.653,0.201,222,111,000,0,112519901445,18.90,17.10,0.49,114,1
344.205883,27.276836,0.12,0.12,90,14.060,0.038,13.710,0.041,13.565,0.046,222,111,000,0,112519868807,16.60,14.90,1.22,164,1
344.371249,27.542639,0.28,0.24,175,16.262,0.106,15.877,0.154,15.659,0.204,222,111,000,0,,,,,,0
345.390881,24.286377,0.13,0.12,0,15.121,0.051,14.538,0.059,14.420,0.069,222,111,000,0,112519910966,18.60,16.40,0.49,291,1
345.259652,26.099688,0.32,0.30,6,17.232,0.242,15.813,0.164,15.592,9.999,220,110,000,0,112519906458,20.70,18.50,1.59,171,1
344.611057,25.863922,0.12,0.12,90,15.186,0.052,14.637,0.060,14.657,0.089,222,111,000,0,112519883380,17.30,16.00,0.60,144,1
345.455162,27.253040,0.19,0.17,86,16.409,0.118,15.618,0.135,15.144,9.999,220,110,000,0,112519913290,18.80,17.20,0.58,92,1
345.536986,25.374636,0.12,0.12,90,15.113,0.052,14.730,0.065,14.543,0.080,222,111,000,0,112519916083,18.30,16.50,0.34,350,1
345.929941,29.028463,0.25,0.21,179,16.978,0.183,15.195,9.999,15.459,0.180,202,101,000,0,112519929617,21.10,18.30,0.23,100,1
345.586026,26.403793,0.23,0.18,180,16.327,0.105,15.521,0.121,15.630,0.202,222,111,000,0,112519917836,19.80,17.60,0.20,83,1
345.694965,28.327171,0.24,0.20,95,16.400,0.108,15.938,0.177,15.800,9.999,220,110,RR0,0,112519921520,18.60,17.20,0.71,175,1
344.886421,28.963913,0.14,0.12,90,14.730,0.058,13.929,0.063,13.631,0.066,222,111,000,1,112519893320,13.50,12.10,0.39,156,1,533
345.469289,25.097769,0.26,0.25,0,16.428,0.109,16.028,0.201,15.700,9.999,220,110,000,0,112519913755,19.40,18.00,0.41,70,1
345.910710,28.753716,0.15,0.15,90,15.958,0.080,15.843,0.174,15.229,0.142,222,111,000,0,112519928961,17.90,16.90,0.51,140,1
344.888253,23.914215,0.24,0.12,0,15.615,0.064,14.759,0.069,14.627,0.092,222,111,000,0,112519893398,20.00,17.10,0.16,73,1
345.041298,29.530306,0.12,0.12,90,15.528,0.059,14.906,0.069,14.746,0.090,222,111,000,0,112519898756,20.90,18.70,0.57,202,1
345.945673,25.971289,0.16,0.12,0,15.666,0.072,15.093,0.093,14.856,0.108,222,111,000,0,112519930125,19.80,17.10,1.72,252,1
346.191189,29.018578,0.12,0.12,90,15.240,0.050,14.644,0.067,14.648,0.091,222,111,000,0,112519938515,18.30,16.60,0.38,129,1
345.188076,25.523090,0.12,0.12,90,15.449,0.059,14.941,0.079,14.875,0.108,222,111,000,0,112519903957,18.80,16.80,1.23,45,1
346.286046,29.340363,0.20,0.18,91,16.369,0.110,15.730,0.144,15.107,0.124,222,111,000,0,,,,,,0
346.369410,24.056459,0.30,0.28,69,16.736,0.150,15.647,0.134,15.883,0.249,222,111,000,0,,,,,,0
346.428037,29.762564,0.23,0.21,15,16.636,0.135,15.603,0.136,15.514,0.175,222,111,000,0,112519946402,20.50,18.20,0.79,141,1
346.554626,28.669918,0.13,0.13,0,15.706,0.065,15.207,0.103,15.200,0.135,222,111,000,0,112519950643,18.80,17.00,0.57,146,1
344.297869,25.371473,0.13,0.12,90,15.424,0.063,14.691,0.067,14.530,0.080,222,111,000,0,112519872243,20.40,17.30,0.42,143,1
346.664155,26.637869,0.18,0.17,127,16.416,0.111,15.525,0.125,15.549,0.188,222,111,000,0,112519954314,20.40,18.50,0.49,82,1
344.266435,28.747751,0.12,0.12,90,14.215,0.042,13.718,0.047,13.708,0.050,222,111,000,0,112519871073,16.50,15.20,0.71,78,1
345.655185,26.882643,0.21,0.12,0,14.850,0.043,14.529,0.061,14.399,0.065,222,111,000,0,112519920208,17.00,15.60,0.64,154,1
344.875827,29.599470,0.13,0.13,0,14.394,0.041,13.882,0.041,13.921,0.065,222,111,000,0,112519892904,17.00,15.80,0.73,60,1
344.523933,25.618521,0.12,0.12,90,15.095,0.050,14.632,0.060,14.742,0.088,222,111,000,0,112519880268,17.70,15.70,0.34,139,1
344.095913,28.743488,0.13,0.12,0,13.144,0.035,12.807,0.035,12.751,0.033,222,111,000,0,112519864882,15.40,14.30,1.07,48,1
345.135660,25.310038,0.16,0.15,63,16.366,0.116,15.677,0.149,14.779,0.098,222,111,000,0,112519902082,20.30,17.30,0.43,20,1
344.724085,26.008013,0.13,0.13,0,13.538,0.037,13.083,9.999,13.033,0.037,202,101,000,0,112519887333,16.70,14.70,0.54,156,1
344.988440,28.819887,0.15,0.12,90,13.558,0.038,13.287,0.042,13.145,0.038,222,111,000,0,112519897008,15.90,14.60,0.42,107,1
344.991962,24.534523,0.12,0.12,90,15.790,0.068,15.130,0.082,14.779,0.095,222,111,000,0,112519897109,20.20,17.70,0.24,187,1
345.175882,29.887905,0.33,0.29,90,17.030,0.203,16.448,0.272,15.453,0.170,222,111,000,0,,,,,,0
345.147179,24.459436,0.20,0.18,82,16.501,0.124,15.643,0.142,15.218,0.131,222,111,000,0,112519902469,20.90,18.50,0.11,79,1
345.343564,25.121513,0.12,0.12,90,14.798,0.044,14.276,0.057,14.146,0.063,222,111,000,0,112519909301,18.50,16.30,0.23,218,1
344.243156,28.968489,0.26,0.21,96,16.686,0.155,15.823,0.159,15.500,0.166,222,111,000,0,,,,,,0
345.320357,28.556639,0.12,0.12,90,13.524,0.035,13.229,0.037,13.124,0.033,222,111,000,0,112519908574,15.80,14.40,0.40,130,1
344.442313,23.902273,0.12,0.12,90,13.566,0.034,13.269,0.038,13.169,0.035,222,111,000,0,112519877422,16.10,14.50,0.24,338,2
345.490301,28.336905,0.13,0.13,90,16.236,0.103,15.329,0.107,14.583,0.084,222,111,000,0,112519914454,19.10,17.50,1.03,136,1
344.512528,27.648104,0.15,0.12,0,14.984,0.045,14.462,0.059,14.550,0.077,222,111,000,0,112519879890,17.30,15.60,1.06,183,1
345.536865,27.219217,0.12,0.12,90,14.410,0.040,13.983,0.044,13.940,0.054,222,111,000,0,112519916084,16.50,15.10,0.72,152,1
345.755136,27.567287,0.29,0.25,106,16.811,0.204,15.176,9.999,15.394,0.188,202,101,000,0,112519923638,17.30,16.20,1.72,116,1
345.793060,29.027996,0.13,0.13,90,15.984,0.079,15.513,0.126,15.250,0.140,222,111,000,0,112519924958,18.80,16.90,0.50,66,1
346.192723,28.997065,0.21,0.20,45,16.391,0.111,15.690,0.148,15.443,0.170,222,111,000,0,112519938578,20.00,17.60,0.82,165,1
345.803870,25.650497,0.13,0.13,0,15.624,0.063,15.352,0.112,15.432,0.168,222,111,000,0,112519925345,18.30,16.80,0.33,73,1
344.764690,29.177586,0.12,0.12,90,11.370,0.033,11.040,0.034,10.996,0.031,222,111,000,0,112519888863,13.40,12.80,0.28,341,1
344.977741,25.680822,0.12,0.12,90,14.590,0.039,13.923,0.043,13.646,0.045,222,111,000,0,112519896647,19.80,16.60,0.56,74,1
345.941640,25.133139,0.27,0.23,85,16.321,0.105,15.898,0.189,15.696,0.206,222,111,000,0,112519930010,20.30,18.30,0.82,115,1
345.128647,25.690111,0.12,0.12,90,14.411,0.041,14.106,0.047,14.007,0.054,222,111,000,0,112519901833,17.20,15.40,0.73,197,1
344.998367,27.406057,0.12,0.12,90,14.657,0.041,14.075,0.050,13.971,0.049,222,111,000,0,112519897327,17.90,15.70,0.78,140,1
346.288194,28.555079,0.12,0.12,90,15.215,0.045,14.567,0.065,14.322,0.076,222,111,000,0,112519941788,19.40,16.50,0.62,88,1
346.420825,24.899166,0.21,0.18,2,16.525,0.123,15.444,0.127,15.781,0.231,222,111,000,0,,,,,,0
345.293091,24.007952,0.31,0.30,0,16.824,0.166,16.309,0.233,15.389,0.172,222,111,000,0,,,,,,0
346.327809,24.432329,0.23,0.21,10,16.373,0.108,15.791,0.161,15.342,0.158,222,111,000,0,,,,,,0
346.590192,29.886332,0.12,0.12,90,15.088,0.045,14.799,0.068,14.630,0.086,222,111,000,0,112519951867,17.50,15.90,0.39,113,1
345.487274,27.462837,0.12,0.12,90,14.837,0.042,14.507,0.057,14.317,0.061,222,111,000,0,112519914361,17.40,15.60,0.48,151,1
345.480204,29.313568,0.12,0.12,90,14.878,0.046,14.492,0.055,14.482,0.078,222,111,000,0,112519914116,17.50,16.30,0.66,151,1
346.595196,27.190290,0.27,0.25,14,16.924,0.180,15.912,9.999,15.250,0.151,202,101,000,0,112519952035,20.70,18.70,1.59,84,1
345.664058,26.143051,0.37,0.30,92,16.445,0.119,16.062,0.203,16.020,0.266,222,111,000,0,,,,,,0
345.255800,28.926592,0.16,0.15,10,15.929,0.078,14.978,9.999,15.051,0.120,202,101,000,0,112519906315,20.90,18.30,1.02,204,1
344.511751,24.851734,0.12,0.12,90,15.585,0.062,14.961,0.069,14.903,0.097,222,111,000,0,112519879861,19.20,16.80,0.30,116,1
344.207537,24.317123,0.31,0.25,101,16.586,0.156,15.730,0.143,15.692,0.192,222,111,000,0,112519868864,21.10,18.50,0.39,80,1
344.296066,25.956856,0.22,0.19,80,16.246,0.115,15.577,0.123,15.410,0.154,222,111,000,0,112519872180,19.00,17.30,0.66,175,1
344.396406,28.882996,0.23,0.22,135,16.359,0.112,15.906,0.165,15.550,0.177,222,111,000,0,112519875808,19.60,17.70,0.23,109,1
344.504299,24.581289,0.12,0.12,90,14.173,0.041,13.704,0.041,13.546,0.047,222,111,000,0,112519879635,16.70,14.30,1.65,73,1
344.667512,29.839985,0.22,0.21,93,16.237,0.106,15.923,0.167,15.309,9.999,220,110,000,0,112519885264,18.90,17.20,0.64,355,1
344.627696,24.499371,0.12,0.12,90,14.099,0.034,13.397,0.036,13.230,0.035,222,111,000,0,112519883911,18.30,15.40,0.60,269,1
344.876351,28.936377,0.15,0.15,90,15.883,0.075,15.850,0.148,15.305,0.149,222,111,000,0,112519892926,17.90,16.90,0.39,109,1
346.200303,28.941025,0.13,0.13,90,15.807,0.075,15.332,0.101,15.270,0.139,222,111,000,0,112519938844,18.40,16.80,0.33,58,1
344.972152,24.097149,0.26,0.20,9,16.295,0.109,15.620,0.133,15.325,0.150,222,111,000,0,112519896465,21.10,19.50,0.53,98,1
345.123481,29.308178,0.15,0.15,90,15.741,0.068,15.563,0.119,15.698,0.199,222,111,000,0,112519901665,17.60,16.80,0.71,88,1
344.342931,29.009918,0.12,0.12,90,13.029,0.037,12.647,0.039,12.483,0.033,222,111,000,0,112519873833,15.80,14.50,0.59,293,1
344.890214,27.395653,0.12,0.12,90,15.815,0.072,14.900,0.066,14.902,0.099,222,111,000,0,112519893462,20.50,17.80,1.05,214,1
345.306018,26.037432,0.14,0.12,0,15.348,0.056,14.585,0.059,14.473,0.072,222,111,000,0,112519908088,19.50,17.20,0.43,143,1
344.470238,26.334955,0.21,0.21,90,16.367,0.113,15.029,9.999,15.427,0.163,202,101,000,0,112519878381,20.50,17.80,0.79,155,1
344.576253,27.607309,0.16,0.12,0,15.215,0.053,14.638,0.062,14.511,0.082,222,111,000,0,112519882086,18.20,16.30,1.03,160,1
345.491605,29.118818,0.18,0.16,99,16.432,0.112,15.455,0.121,15.147,0.125,222,111,000,0,,,,,,0
345.609567,28.432461,0.12,0.12,90,12.411,0.031,11.922,0.032,11.786,0.032,222,111,000,0,112519918693,14.80,13.50,1.69,133,1
344.643315,27.624994,0.12,0.12,0,13.349,0.035,12.977,0.034,12.929,0.033,222,111,000,0,112519884438,15.70,14.00,0.63,170,1
345.521838,28.008879,0.12,0.12,90,15.090,0.043,14.754,0.065,14.501,0.079,222,111,000,0,112519915574,17.20,15.90,0.50,181,1
345.632197,29.665464,0.12,0.12,90,14.156,0.035,13.790,0.043,13.705,0.044,222,111,000,0,112519919424,16.80,15.40,0.19,98,1
344.811978,29.173180,0.12,0.12,90,15.537,0.053,14.901,0.068,14.591,0.090,222,111,000,0,112519890611,18.70,17.10,0.56,133,1
344.934303,29.393953,0.13,0.12,90,14.797,0.042,14.480,0.059,14.323,0.071,222,111,000,0,112519895120,16.70,16.00,1.23,20,1
345.901299,26.459606,0.12,0.12,90,13.773,0.033,13.394,0.042,13.217,0.039,222,111,000,0,112519928650,16.60,14.70,0.36,75,1
345.134421,25.604586,0.22,0.21,86,16.449,0.118,15.900,0.167,15.071,0.118,222,111,000,0,112519902033,19.90,18.60,0.70,156,1
345.101726,27.374489,0.25,0.21,71,16.495,0.129,16.509,9.999,15.543,0.174,202,101,000,0,112519900915,21.00,18.10,0.45,148,1
40.108924,26.576006,0.12,0.12,90,10.627,0.031,10.311,0.030,10.297,0.031,222,111,000,0,112500869688,13.80,11.30,1.91,90,1
345.231469,29.344101,0.12,0.12,90,12.763,0.031,12.501,0.033,12.378,0.031,222,111,000,0,112519905509,15.10,14.10,0.69,94,1
345.397562,24.039219,0.14,0.12,0,15.427,0.062,15.134,0.087,14.988,0.115,222,111,000,0,112519911232,18.60,16.80,0.38,30,1
346.060906,28.682552,0.30,0.26,80,16.740,0.149,15.980,0.189,15.813,0.234,222,111,000,0,,,,,,0
346.996463,28.445412,0.12,0.12,90,13.154,0.031,12.857,0.031,12.759,0.036,222,111,000,0,112519965370,15.80,14.60,0.44,75,1
346.473852,28.731718,0.12,0.12,0,14.582,0.033,14.012,0.044,13.900,0.052,222,111,000,0,112519947975,17.90,16.20,1.03,181,1
345.210819,29.593500,0.12,0.12,90,15.143,0.045,14.922,0.072,14.774,0.097,222,111,000,0,112519904767,17.30,16.30,0.44,101,1
344.133161,28.582726,0.23,0.20,73,16.184,0.111,15.879,0.163,15.440,0.166,222,111,000,0,112519866201,18.40,17.30,0.37,24,1
346.609386,24.444330,0.36,0.32,73,16.493,0.118,16.353,0.278,15.702,9.999,220,110,000,0,,,,,,0
344.348009,29.762695,0.30,0.26,82,16.633,0.141,15.875,0.164,15.757,0.212,222,111,000,0,112519874071,21.10,18.70,1.09,94,1
344.392238,28.161377,0.14,0.12,0,15.923,0.081,15.290,0.096,14.953,0.111,222,111,000,0,112519875647,20.40,17.30,0.21,137,1
344.438113,26.498344,0.21,0.19,91,16.201,0.103,15.635,0.126,15.352,0.161,222,111,000,0,112519877277,19.20,17.50,1.26,128,1
344.505125,27.418657,0.27,0.25,2,16.158,0.091,15.750,0.138,15.660,0.191,222,111,000,0,,,,,,0
344.150435,27.120998,0.13,0.13,0,15.760,0.080,15.447,0.110,15.118,0.117,222,111,000,0,112519866810,18.20,16.90,1.14,144,1
344.694594,29.425777,0.20,0.20,90,16.592,0.139,15.556,9.999,15.301,0.150,202,101,000,0,112519886269,20.80,17.80,0.43,199,1
344.739913,27.724525,0.25,0.23,87,16.774,0.150,16.073,0.175,15.479,0.158,222,111,000,0,112519887921,21.00,18.20,0.38,25,1
344.865049,29.289431,0.13,0.13,90,15.736,0.073,15.363,0.107,15.085,0.123,222,111,000,0,112519892530,18.20,16.90,0.34,85,1
345.078305,26.312136,0.12,0.12,90,12.631,0.034,12.097,0.032,11.986,0.032,222,111,000,0,112519900103,16.40,14.10,1.00,277,1
346.354068,24.984760,0.16,0.12,0,14.873,0.038,14.423,0.053,14.526,0.073,222,111,000,0,112519943977,17.80,16.10,0.76,35,1
344.063081,28.368210,0.12,0.12,0,15.653,0.071,15.115,0.091,15.006,0.117,222,111,000,0,112519863665,18.30,17.00,0.74,71,1
345.166655,24.849216,0.12,0.12,0,13.688,0.030,13.371,0.039,13.300,0.040,222,111,000,0,112519903178,16.40,14.80,0.47,33,1
344.273135,26.933573,0.13,0.13,90,15.966,0.087,15.351,0.105,15.062,0.119,222,111,000,0,112519871315,20.70,17.80,1.04,173,1
