year,resp_id,agency,loan_type,purpose,occupancy,amntch,amount,action,msa,state,county,tract,app_race,coapp_race,app_sex,coapp_sex,app_incch,app_inc,purchtype,denial1,denial2,denial3,editstatus,sequence,popch,pop,minpopch,minpop,minpctch,minpct,med_incch,med_inc,tct2msach,tct2msa,ownoccch,ownocc,ownocc4ch,ownocc4
2001,0000000001,1,1,3,1,00150,150,1,,10,005,0519.00,5,8,1,4,0036,36,0,,,,,0000166,,0,,0,,0,,0,,0,,0,,0
2001,0000000001,1,1,3,1,00053,53,1,2190,10,001,0401.00,5,5,1,2,0060,60,0,,,,6,0031634,00004429,4429,00000507,507,0011.45,11.45,00031597,31597,0094.06,94.06,00001314,1314,00001582,1582
2001,0000000001,1,1,3,1,00039,39,1,2190,10,001,0401.00,5,5,1,2,0070,70,0,,,,6,0031635,00004429,4429,00000507,507,0011.45,11.45,00031597,31597,0094.06,94.06,00001314,1314,00001582,1582
2001,0000000001,1,1,3,1,00020,20,1,2190,10,001,0401.00,5,5,1,2,0064,64,0,,,,6,0031636,00004429,4429,00000507,507,0011.45,11.45,00031597,31597,0094.06,94.06,00001314,1314,00001582,1582
2001,0000000001,1,1,3,1,00150,150,1,2190,10,001,0401.00,5,5,1,2,0104,104,0,,,,6,0031637,00004429,4429,00000507,507,0011.45,11.45,00031597,31597,0094.06,94.06,00001314,1314,00001582,1582
2001,0000000001,1,1,3,1,00067,67,1,2190,10,001,0402.00,5,8,1,4,0030,30,0,,,,6,0031638,00010469,10469,00001746,1746,0016.68,16.68,00033907,33907,0100.93,100.93,00002887,2887,00003703,3703
2001,0000000001,1,1,3,1,00050,50,2,2190,10,001,0402.00,5,5,1,2,0049,49,0,,,,6,0031639,00010469,10469,00001746,1746,0016.68,16.68,00033907,33907,0100.93,100.93,00002887,2887,00003703,3703
2001,0000000001,1,1,3,1,00120,120,3,2190,10,001,0404.00,5,5,1,2,0054,54,0,4,,,6,0031640,00001173,1173,00000098,98,0008.35,8.35,00027197,27197,0080.96,80.96,00000347,347,00000560,560
2001,0000000001,1,1,1,2,00127,127,1,2190,10,001,0405.00,7,8,3,4,0033,33,0,,,,6,0031641,00005090,5090,00001430,1430,0028.09,28.09,00038401,38401,0114.31,114.31,00001447,1447,00001719,1719
2001,0000000001,1,1,3,1,00099,99,1,2190,10,001,0405.00,3,8,1,4,0070,70,0,,,,6,0031642,00005090,5090,00001430,1430,0028.09,28.09,00038401,38401,0114.31,114.31,00001447,1447,00001719,1719
