symbol,name,ask ($),bid ($),52 week low ($),52 week high ($),market cap (billion $),p/e ratio,average daily volume
"BTU","Peabody Energy Co",40.50,33.90,30.60,73.95,9.183,9.58,6312020
"JCP","J.C. Penney Compa",34.94,29.50,23.44,41.00,7.391,36.55,4424840
"PBCT","People's United F",12.98,0.00,10.50,14.49,4.350,23.07,5588140
"POM","PEPCO Holdings In",20.50,19.43,16.57,20.36,4.564,16.41,1977650
"PEP","Pepsico, Inc. Com",66.25,65.39,58.50,71.89,103.2,16.43,7860170
"PKI","PerkinElmer, Inc.",19.65,18.64,17.45,28.75,2.187,5.92,1507960
"PFE","Pfizer, Inc. Comm",21.73,21.60,16.63,21.73,166.7,14.90,47518100
"PCG","Pacific Gas & Ele",42.00,37.92,36.84,48.54,16.547,15.94,3713020
"PM","Philip Morris Int",78.49,74.65,55.85,78.29,135.8,16.27,7312290
"PNW","Pinnacle West Cap",49.00,46.23,37.28,47.94,5.219,15.57,1076380
"PXD","Pioneer Natural R",142.00,79.37,58.63,106.07,10.225,10.11,2062360
"PBI","Pitney Bowes Inc.",18.65,18.27,17.33,26.36,3.653,8.80,3119230
"PCL","Plum Creek Timber",36.72,34.67,33.02,44.28,5.819,30.59,1535340
"PNC","PNC Financial Ser",57.58,54.80,42.70,65.19,29.925,8.92,5012960
"RL","Ralph Lauren Corp",139.00,135.11,102.33,164.55,12.395,20.27,1235580
"PPG","PPG Industries, I",82.30,81.75,66.43,97.81,12.687,12.04,1344930
"PPL","PP&L Corporation ",33.97,28.20,24.10,30.27,17.008,10.89,4397350
"PX","Praxair, Inc. Com",108.15,54.50,88.64,111.74,31.520,23.50,1803980
"PCP","Precision Castpar",168.65,163.36,136.00,178.98,23.555,21.25,1030520
"PCLN","priceline.com Inc",475.00,472.00,399.18,561.88,23.514,25.43,1306330
"PFG","Principal Financi",25.31,23.31,20.48,35.00,7.495,10.91,3701200
"PG","Procter & Gamble ",66.18,65.86,57.56,67.72,181.6,16.71,9592180
"PGN","Progress Energy, ",56.00,54.90,42.05,55.13,16.222,20.79,1652430
"PGR","Progressive Corpo",19.37,18.57,16.88,22.08,11.773,11.58,5551870
"PLD","ProLogis, Inc. Co",28.90,25.64,21.74,37.46,12.950,,3803520
"PRU","Prudential Financ",50.05,44.08,42.45,67.52,23.284,7.67,5574760
"PEG","Public Service En",31.95,31.50,27.97,35.48,16.022,11.16,3384540
"PSA","Public Storage Co",132.00,128.80,99.93,132.20,22.499,43.05,1011870
"PHM","PulteGroup, Inc. ",6.31,6.16,3.29,8.69,2.415,,12258900
"QEP","QEP Resources, In",30.46,27.92,23.56,45.20,5.174,15.60,2016940
"PWR","Quanta Services, ",22.53,20.09,15.37,24.18,4.434,45.97,2552270
"QCOM","QUALCOMM Incorpor",56.10,52.66,45.98,59.84,89.916,21.51,15969700
"DGX","Quest Diagnostics",59.60,56.22,45.13,61.21,9.171,21.14,1545320
"RSH","Radioshack Corpor",15.94,9.30,9.15,18.90,0.9295,8.49,2804970
"RRC","Range Resources C",63.94,55.68,44.20,77.24,9.877,,2750220
"RTN","Raytheon Company ",47.49,38.76,38.35,53.12,16.301,9.61,2717390
"RHT","Red Hat, Inc. Com",43.97,38.00,31.77,53.42,7.694,62.71,2846500
"RF","Regions Financial",4.25,4.18,2.82,8.09,5.312,23.56,26914000
"RSG","Republic Services",27.59,26.06,24.72,33.10,9.981,18.68,3043220
"RAI","Reynolds American",41.80,40.60,31.54,42.18,24.185,18.07,3110440
"RHI","Robert Half Inter",28.46,26.17,19.69,34.26,3.953,30.15,1805520
"ROK","Rockwell Automati",74.93,72.46,50.36,98.19,10.282,15.60,1476920
"COL","Rockwell Collins,",55.99,53.21,43.82,67.29,8.332,13.58,1477830
"ROP","Roper Industries,",88.40,82.94,64.90,88.76,8.307,20.62,612330
"ROST","Ross Stores, Inc.",0.00,45.54,30.075,48.15,10.931,17.71,2266240
"RDC","Rowan Companies, ",31.23,29.34,28.13,44.83,3.872,5.19,2703410
"R","Ryder System, Inc",67.00,50.40,34.28,60.38,2.699,16.93,712288
"SWY","Safeway Inc. Comm",21.24,20.15,15.93,25.43,7.158,13.87,6411610
"SAI","SAIC Inc Common S",12.38,11.90,11.06,17.65,4.221,12.49,2344600
"CRM","Salesforce.com In",125.13,94.25,94.09,160.12,13.468,6954.67,3176580
"SNDK","SanDisk Corporati",50.80,43.61,32.24,53.61,11.568,9.92,6996360
"SLE","Sara Lee Corporat",18.98,18.30,15.66,20.26,11.071,12.98,4607740
"SCG","SCANA Corporation",45.26,42.67,34.64,44.36,5.745,14.72,759770
"SLB","Schlumberger N.V.",67.88,67.65,54.79,95.64,90.875,20.16,11509600
"SNI","Scripps Networks ",45.35,38.98,33.82,53.66,6.843,17.52,1210890
"SEE","Sealed Air Corpor",16.87,16.61,15.05,28.77,3.216,12.25,2663350
"SHLD","Sears Holdings Co",48.95,4.67,43.99,94.79,4.797,,753891
"SRE","Sempra Energy Com",55.50,52.20,44.78,55.97,13.014,9.57,1285050
"SHW","Sherwin-Williams ",89.74,85.07,69.47,87.87,9.074,18.71,1254270
"SIAL","Sigma-Aldrich Cor",66.48,59.01,56.18,76.16,7.642,18.06,793909
"SPG","Simon Property Gr",128.00,125.01,95.29,131.21,37.500,42.61,2054880
"SLM","SLM Corporation",22.22,0.00,10.91,17.11,6.873,12.96,5973460
"SJM","J.M. Smucker Comp",79.77,76.61,61.16,80.25,8.923,19.46,718975
"SNA","Snap-On Incorpora",52.00,48.94,41.74,64.36,3.018,11.55,444528
"SO","Southern Company ",47.51,45.02,35.73,45.93,39.528,18.58,5357880
"LUV","Southwest Airline",8.88,8.11,7.15,13.59,6.516,43.27,9339070
"SWN","Southwestern Ener",33.85,31.14,30.94,49.25,11.373,18.26,4590830
"SE","Spectra Energy Co",30.71,29.20,22.80,30.53,19.836,16.08,4303280
"S","Sprint  Nextel Co",2.43,2.10,2.10,6.45,6.980,,59484900
"STJ","St. Jude Medical,",34.42,32.00,32.13,54.18,10.740,11.84,4553980
"SWK","Stanley Black & D",68.00,66.00,47.07,78.19,11.408,17.46,1767690
"SPLS","Staples, Inc.",15.30,0.00,11.94,23.75,9.834,10.31,9563600
"SBUX","Starbucks Corpora",45.28,41.75,30.75,45.45,33.722,27.81,6827660
"HOT","Starwood Hotels &",50.00,44.92,35.78,65.51,8.909,13.72,3391510
"STT","State Street Corp",50.10,39.24,29.86,50.26,19.983,12.69,5419070
"SRCL","Stericycle, Inc.",0.00,74.59,73.05,95.71,6.672,31.10,489853
"SYK","Stryker Corporati",48.84,46.31,43.73,65.21,18.598,15.17,2258450
"SUN","Sunoco, Inc. Comm",40.50,38.25,27.76,46.98,4.244,,2334930
"STI","SunTrust Banks, I",17.51,16.15,15.79,33.14,9.016,16.02,8188620
"SVU","SuperValu Inc. Co",14.22,7.64,6.26,11.77,1.696,58.20,5658130
"SYMC","Symantec Corporat",15.36,0.00,14.94,20.50,11.168,17.78,8145890
"SYY","Sysco Corporation",29.64,28.23,25.09,32.76,17.036,14.83,4019620
"TROW","T. Rowe Price Gro",57.35,48.87,44.68,71.29,14.289,19.34,2784720
"TGT","Target Corporatio",54.40,47.50,45.28,60.97,34.735,12.05,6383310
"TEL","TE Connectivity L",32.35,7.30,26.58,38.59,12.988,11.06,4860830
"TE","TECO Energy, Inc.",19.59,18.48,15.82,19.66,4.046,14.60,2065050
"TLAB","Tellabs, Inc.",5.50,0.00,3.67,7.31,1.394,,5623940
"THC","Tenet Healthcare ",5.20,4.82,3.46,7.70,2.120,11.25,9911130
"TDC","Teradata Corporat",47.94,47.36,41.07,62.71,7.985,25.49,1998920
"TER","Teradyne, Inc. Co",13.48,13.34,10.37,19.19,2.470,10.28,4252090
"TSO","Tesoro Corporatio",28.35,23.02,17.43,29.61,3.290,4.75,5135630
"TXN","Texas Instruments",28.61,24.89,24.34,36.71,32.634,12.25,12703400
"TXT","Textron Inc. Comm",18.68,17.62,14.66,28.87,5.099,17.95,5551080
"HSY","The Hershey Compa",61.11,60.52,46.24,60.96,13.647,22.04,1352220
"TRV","The Travelers Com",59.97,58.90,45.97,64.17,24.391,14.88,4591290
"TMO","Thermo Fisher Sci",46.02,43.42,43.06,65.86,16.894,13.11,3972130
"TIF","Tiffany & Co. Com",66.60,49.71,54.58,84.49,8.208,18.44,2626260
"TWX","Time Warner Inc. ",35.49,33.65,27.62,38.62,35.031,13.18,7959120
"TWC","Time Warner Cable",63.67,61.06,57.15,80.86,20.123,14.41,2699220
"TIE","Titanium Metals C",15.25,14.07,13.28,20.69,2.642,24.72,2121300
"TJX","TJX Companies, In",64.00,63.29,42.55,63.89,23.948,18.14,2952440
"TMK","Torchmark Corpora",42.76,39.23,32.77,45.3733,4.344,8.91,1519050
"TSS","Total System Serv",20.11,19.50,15.10,20.50,3.945,18.45,1656860
"TSN","Tyson Foods, Inc.",21.00,20.60,15.60,20.88,7.721,10.36,3711200
"TYC","Tyco Internationa",47.52,14.75,37.39,53.38,21.394,12.84,3631580
"USB","U.S. Bancorp Comm",26.81,20.27,20.10,28.94,51.164,11.73,15894800
"UNP","Union Pacific Cor",103.25,80.01,77.73,107.89,49.766,16.08,3130930
"UNH","UnitedHealth Grou",59.55,48.00,35.38,53.50,53.291,11.06,7762450
"UPS","United Parcel Ser",75.15,71.51,60.74,77.00,69.933,17.61,4860600
"X","United States Ste",25.17,25.00,18.85,64.03,3.616,,13594000
"UTX","United Technologi",75.14,73.37,66.87,91.83,66.706,13.96,5119230
"UNM","Unum Group Common",21.76,20.01,19.72,27.16,6.102,7.13,3572760
"URBN","Urban Outfitters,",27.68,26.30,21.47,39.26,3.902,19.97,3670930
"VFC","V.F. Corporation ",130.87,128.01,80.40,142.50,14.167,20.85,1129570
"VLO","Valero Energy Cor",21.11,20.90,16.40,31.12,11.771,7.41,11412500
"VAR","Varian Medical Sy",100.37,63.05,48.72,72.19,7.340,19.36,1300780
"VTR","Ventas, Inc. Comm",54.53,51.97,43.25,57.45,15.502,42.71,2083150
"VRSN","VeriSign, Inc.",39.45,0.00,27.00,37.73,5.675,117.39,1930770
"VZ","Verizon Communica",39.42,39.22,32.28,39.49,111.1,15.77,15545500
"VIA.B","VIA.B",,,,,,,0
"V","Visa Inc. Visa In",101.15,100.30,67.51,101.50,81.880,22.55,4527400
"VNO","Vornado Realty Tr",78.13,73.48,68.39,98.77,14.027,18.33,1515020
"VMC","Vulcan Materials ",40.00,30.66,25.06,47.18,5.025,,1893510
"WMT","Wal-Mart Stores, ",59.50,59.25,48.31,59.66,203.4,12.53,11588200
"WAG","Walgreen Co. Comm",33.50,33.23,30.34,47.11,29.676,11.39,8958680
"DIS","Walt Disney Compa",37.36,31.44,28.19,44.34,65.160,14.35,12701600
"WPO","Washington Post C",365.44,285.01,308.50,455.68,2.821,21.87,36375
"WM","Waste Management,",32.06,31.90,27.75,39.69,14.758,15.52,5108960
"WAT","Waters Corporatio",75.62,71.58,70.88,100.00,6.607,16.35,939734
"WPI","Watson Pharmaceut",62.49,61.01,50.47,73.35,7.843,42.08,1375760
"WLP","WellPoint, Inc. C",66.19,64.50,56.55,81.92,22.847,8.61,2897760
"WFC","Wells Fargo & Com",26.94,26.90,22.58,34.25,141.8,9.81,39091600
"WDC","Western Digital C",32.16,30.54,22.64,41.87,7.341,9.78,5492800
"WU","Western Union Com",18.56,17.95,14.55,22.03,11.231,12.26,6440100
"WY","Weyerhaeuser Comp",18.00,17.80,14.82,25.33,9.640,21.38,6172970
"WHR","Whirlpool Corpora",50.35,47.01,45.22,92.28,3.756,10.59,1941170
"WFM","Whole Foods Marke",72.00,54.00,47.83,74.45,12.287,35.60,1824040
"WMB","Williams Companie",33.00,30.56,21.90,33.47,18.867,19.04,8981740
"WIN","Windstream Corpor",12.10,11.00,10.76,14.27,6.118,22.80,8106660
"WEC","Wisconsin Energy ",35.29,33.34,27.00,34.55,7.990,15.04,1743370
"WYN","Wyndham Worldwide",36.75,35.02,24.76,36.60,5.599,14.19,2523030
"WYNN","Wynn Resorts, Lim",109.20,102.64,100.51,172.58,13.404,25.11,3753680
"XEL","Xcel Energy Inc. ",28.08,27.01,21.20,27.44,13.307,15.78,2711170
"XRX","Xerox Corporation",8.25,7.92,6.55,11.79,11.180,10.82,13097400
"XLNX","Xilinx, Inc.",32.47,0.00,26.55,37.37,8.378,14.55,4767580
"XL","XL Group plc",20.68,18.47,17.69,25.43,6.276,27.26,4130390
"YHOO","Yahoo! Inc.",16.12,0.00,11.09,18.84,19.832,18.49,28235600
"YUM","Yum! Brands, Inc.",59.00,58.31,46.27,59.17,26.911,22.88,4254670
"ZMH","Zimmer Holdings, ",53.64,51.45,47.00,69.93,9.287,15.33,2231360
"ZION","Zions Bancorporat",0.00,13.65,13.18,25.60,2.877,,4099460
